xeid,date,time,score,h1,h2,win,tie,los,result,usable,team1,team2,h11,h12,h21,h22,t1,t2
8ITmY6u0,2022-02-02,23:30,1:0,1:0,0:0,1.98,3.18,4.36,0.0,True,Argentina,Colombia,1.0,0.0,0.0,0.0,1.0,0.0
xUg9ukmQ,2022-02-02,23:00,4:1,3:0,1:1,1.41,4.58,8.1,0.0,True,Uruguay,Venezuela,3.0,0.0,1.0,1.0,4.0,1.0
URUqZnQg,2022-02-02,20:00,2:3,1:1,1:2,2.53,3.29,2.81,2.0,True,Bolivia,Chile,1.0,1.0,1.0,2.0,2.0,3.0
pA9R1DgL,2022-02-02,16:00,2:2,0:1,2:1,9.12,4.53,1.38,1.0,True,Oman,Australia ,0.0,1.0,2.0,1.0,2.0,2.0
bHNEwn5n,2022-02-01,14:30,1:0,1:0,0:0,1.33,4.68,10.69,0.0,True,Iran,United Arab Emirates ,1.0,0.0,0.0,0.0,1.0,0.0
CKRIx6Kh,2022-02-01,14:00,0:2,0:0,0:2,8.47,4.07,1.44,2.0,True,Syria,South Korea,0.0,0.0,0.0,2.0,0.0,2.0
fqHNyQZb,2022-02-01,12:00,1:1,1:1,0:0,2.74,2.73,3.04,1.0,True,Lebanon,Iraq,1.0,1.0,0.0,0.0,1.0,1.0
vX8V0X8R,2022-02-01,12:00,3:1,2:0,1:1,4.19,3.54,1.87,0.0,True,Vietnam,China,2.0,0.0,1.0,1.0,3.0,1.0
W65N2gvF,2022-02-01,10:10,2:0,1:0,1:0,1.58,3.47,7.32,0.0,True,Japan,Saudi Arabia,1.0,0.0,1.0,0.0,2.0,0.0
Gnarf9w6,2022-01-31,00:05,0:2,0:1,0:1,2.08,3.09,3.9,2.0,True,Honduras,El Salvador,0.0,1.0,0.0,1.0,0.0,2.0
Uk3ngThC,2022-01-31,23:00,0:0,0:0,0:0,1.29,5.17,10.92,1.0,True,Mexico,Costa Rica ,0.0,0.0,0.0,0.0,0.0,0.0
CEhihm8I,2022-01-31,22:05,3:2,1:1,2:1,2.03,3.09,4.11,0.0,True,Panama,Jamaica ,1.0,1.0,2.0,1.0,3.0,2.0
